timestamp,position_error,orientation_error
96,0.018767501998455897,0.0014409142518376286
97,0.01882144815381587,0.0014580057884282097
98,0.01886137330865728,0.0014712903677417798
99,0.01891328675574492,0.0014671087209625633
100,0.01880415850834131,0.001478981638936667
101,0.018855608803404023,0.0014749912678987049
102,0.018827616731910624,0.0014788374146229393
103,0.01895467690856209,0.0014869422956075462
104,0.01900319511445607,0.0015192288541074678
105,0.01905078023930057,0.0015507522054758098
106,0.019085527412849027,0.0015645592807149685
107,0.019131466162546133,0.0015684150623206266
108,0.01910247884027559,0.0015732728848571755
109,0.019147216150116043,0.001600996068303795
110,0.019191337657372506,0.0016232150476839806
111,0.019162588194616553,0.001623573435298291
112,0.01919449065494385,0.0016170854932407578
113,0.019166232585697784,0.0016176994673879827
114,0.019138466491374947,0.0016254305228631325
115,0.01904161462526454,0.001632968453499163
116,0.019015395377648885,0.0016403711178542924
117,0.018921248013931104,0.0016469341257279828
118,0.01889649353587769,0.0016782120763071588
119,0.01887215212866952,0.0016951482885407324
120,0.018848215193601178,0.0017090371419666778
121,0.018821902783341966,0.001720876518761562
122,0.018729721246843987,0.0017308480347862437
123,0.01864249460615391,0.001740717892034688
124,0.01855667140694943,0.0017491505475079612
125,0.018468840048846316,0.0017581098032266142
126,0.018385762116963897,0.0017678892425510668
127,0.018429985913023635,0.001789919801137419
128,0.018536020078735962,0.0018177212173936576
129,0.018640395309234954,0.001845088182527441
130,0.018743169023840506,0.0018660119796101487
131,0.018783298751488743,0.0018743851981616873
132,0.018762205254585572,0.0018992097382655605
133,0.018801591930355428,0.0019414250663216156
134,0.018840385927467698,0.0019831139852570768
135,0.018847724664763293,0.0019998212548602004
136,0.018839069697441792,0.0020170506637160707
137,0.018830609248565076,0.002109806833547668
138,0.018773435016892666,0.0021585824030120075
139,0.018738305792015457,0.002221346831664839
140,0.018703696169719692,0.0022567384990304106
141,0.018630739461266088,0.0022748787638739772
142,0.018540961341348583,0.0023199011499114956
